seed,method,condition,alpha,classifier,auc_roc,f1_minority,avg_precision
123,CTGAN,augmented,0.5,GBC,0.9850384486793715,0.3333333333333333,0.2520061526852698
123,CTGAN,augmented,0.5,LR,0.9866265463055834,0.21739130434782608,0.36601874217973285
123,CTGAN,augmented,0.5,RF,0.9730023403543965,0.15384615384615385,0.13398077343295867
123,CTGAN,augmented,0.5,MLP,0.9631394182547643,0.0625,0.10493966366153952
123,CTGAN,augmented,1.0,GBC,0.9832413908391842,0.36363636363636365,0.20668476260581523
123,CTGAN,augmented,1.0,LR,0.9867937144767637,0.15873015873015872,0.3666085440278989
123,CTGAN,augmented,1.0,RF,0.9727933801404212,0.19047619047619047,0.12274443727847881
123,CTGAN,augmented,1.0,MLP,0.968572383818121,0.16666666666666666,0.09920792808723843
123,SMOTE,augmented,0.1,GBC,0.980692076228686,0.26666666666666666,0.26905190879709767
123,SMOTE,augmented,0.1,LR,0.9840354396522902,0.1276595744680851,0.4551993555935339
123,SMOTE,augmented,0.1,RF,0.8927616181878971,0.11764705882352941,0.23144392113788664
123,SMOTE,augmented,0.1,MLP,0.9642260113674357,0.09523809523809523,0.08639702055685664
123,SMOTE,augmented,0.2,GBC,0.977432296890672,0.35294117647058826,0.3219828436935126
123,SMOTE,augmented,0.2,LR,0.9828652624540287,0.09876543209876543,0.45166519304450337
123,SMOTE,augmented,0.2,RF,0.8923019057171515,0.2222222222222222,0.15671055651176133
123,SMOTE,augmented,0.2,MLP,0.9687395519893013,0.1,0.08596862385293859
123,SMOTE,augmented,0.3,GBC,0.9717485790705449,0.21052631578947367,0.26742648022139853
123,SMOTE,augmented,0.3,LR,0.9815279170845871,0.10869565217391304,0.44986327864479125
123,SMOTE,augmented,0.3,RF,0.8957706452691407,0.2222222222222222,0.1562040182040182
123,SMOTE,augmented,0.3,MLP,0.9731695085255767,0.09090909090909091,0.0873851304192225
123,SMOTE,augmented,0.5,GBC,0.9827816783684387,0.2222222222222222,0.32296785193126654
123,SMOTE,augmented,0.5,LR,0.9800234035439652,0.09174311926605505,0.44778253812177116
123,SMOTE,augmented,0.5,RF,0.8149866265463055,0.2222222222222222,0.14830925554355096
123,SMOTE,augmented,0.5,MLP,0.9690738883316616,0.10526315789473684,0.06327831454643049
123,SMOTE,augmented,1.0,GBC,0.9792711467736542,0.17142857142857143,0.3543634481886287
123,SMOTE,augmented,1.0,LR,0.9781009695753928,0.07142857142857142,0.39136254691810246
123,SMOTE,augmented,1.0,RF,0.8138164493480441,0.21052631578947367,0.1421449016100179
123,SMOTE,augmented,1.0,MLP,0.9725008358408559,0.16,0.11620092541867108
7,Baseline,real_only,0.0,GBC,0.9653543965229021,0.3076923076923077,0.2866824906119212
7,Baseline,real_only,0.0,LR,0.9933132731527917,0.2857142857142857,0.3414012245214291
7,Baseline,real_only,0.0,RF,0.8964811099966568,0.2857142857142857,0.26974654444034285
7,Baseline,real_only,0.0,MLP,0.01947509194249416,0.0,0.0017742066388555943
7,GaussianCopula,augmented,0.1,GBC,0.9716649949849548,0.3333333333333333,0.24978340627820428
7,GaussianCopula,augmented,0.1,LR,0.9934804413239718,0.2857142857142857,0.35025304807913504
7,GaussianCopula,augmented,0.1,RF,0.9760949515212304,0.2857142857142857,0.2617702769505426
7,GaussianCopula,augmented,0.1,MLP,0.971748579070545,0.25,0.34077147998200635
7,GaussianCopula,augmented,0.2,GBC,0.9599632230023404,0.3076923076923077,0.23193195235356798
7,GaussianCopula,augmented,0.2,LR,0.9938147776663323,0.2857142857142857,0.3582611832611833
7,GaussianCopula,augmented,0.2,RF,0.9760531594784353,0.2857142857142857,0.26246595860566446
7,GaussianCopula,augmented,0.2,MLP,0.01947509194249416,0.0,0.001772420800203879
7,GaussianCopula,augmented,0.3,GBC,0.9692410565028419,0.2857142857142857,0.17023865760048515
7,GaussianCopula,augmented,0.3,LR,0.9937311935807422,0.2857142857142857,0.34939422947838095
7,GaussianCopula,augmented,0.3,RF,0.9753844867937145,0.25,0.2685246467727547
7,GaussianCopula,augmented,0.3,MLP,0.02081243731193579,0.0,0.0017735007116443167
7,GaussianCopula,augmented,0.5,GBC,0.9574139083918423,0.26666666666666666,0.22414186202244646
7,GaussianCopula,augmented,0.5,LR,0.9939819458375125,0.2857142857142857,0.3526635401635402
7,GaussianCopula,augmented,0.5,RF,0.9804413239719157,0.25,0.29215593434343434
7,GaussianCopula,augmented,0.5,MLP,0.030424607154797723,0.0,0.0017822123842499548
7,GaussianCopula,augmented,1.0,GBC,0.9627214978268137,0.23529411764705882,0.15800168283940902
7,GaussianCopula,augmented,1.0,LR,0.993480441323972,0.2857142857142857,0.34510181176847843
7,GaussianCopula,augmented,1.0,RF,0.9770143764627215,0.25,0.2549768518518518
7,GaussianCopula,augmented,1.0,MLP,0.05692076228686059,0.0,0.0018049868269634502
7,CTGAN,augmented,0.1,GBC,0.9814443329989969,0.0,0.23527052398020137
7,CTGAN,augmented,0.1,LR,0.9835339351387496,0.3,0.35493356134977067
7,CTGAN,augmented,0.1,RF,0.9011200267469074,0.0,0.19642681623931624
