seed,method,condition,alpha,classifier,auc_roc,f1_minority,avg_precision
2024,GaussianCopula,augmented,0.5,LR,0.6501438699534277,0.0,0.017859314762634
2024,GaussianCopula,augmented,0.5,RF,0.5168490997003945,0.0,0.010123852720716
2024,GaussianCopula,augmented,0.5,MLP,0.4922725519859987,0.0,0.0096022605773546
2024,GaussianCopula,augmented,1.0,GBC,0.4344279315357005,0.0,0.0078848961992008
2024,GaussianCopula,augmented,1.0,LR,0.6175432351457981,0.0,0.0134727026971656
2024,GaussianCopula,augmented,1.0,RF,0.5249325146094747,0.0,0.0108410491125648
2024,GaussianCopula,augmented,1.0,MLP,0.5068671946842277,0.0,0.0101157296399257
2024,CTGAN,augmented,0.1,GBC,0.5008750852837353,0.0,0.008443208955106
2024,CTGAN,augmented,0.1,LR,0.6395538548248346,0.0,0.0148598146263132
2024,CTGAN,augmented,0.1,RF,0.4909376761294533,0.0,0.0102253665393001
2024,CTGAN,augmented,0.1,MLP,0.4806443000800926,0.0,0.009277695742438
2024,CTGAN,augmented,0.2,GBC,0.4709145382812731,0.0,0.0078457471110876
2024,CTGAN,augmented,0.2,LR,0.6453383168698645,0.0,0.0162963764543319
2024,CTGAN,augmented,0.2,RF,0.5110794696093264,0.0,0.0095638019385779
2024,CTGAN,augmented,0.2,MLP,0.485479517071579,0.0,0.0094389898200307
2024,CTGAN,augmented,0.3,GBC,0.5067337070985732,0.0,0.0090132390952111
2024,CTGAN,augmented,0.3,LR,0.6450713416985553,0.0,0.0170734191783118
2024,CTGAN,augmented,0.3,RF,0.5295007564296521,0.0,0.0098612174491144
2024,CTGAN,augmented,0.3,MLP,0.4902850701551422,0.0,0.0095028184403464
2024,CTGAN,augmented,0.5,GBC,0.4582777135059773,0.0,0.0078489518693433
2024,CTGAN,augmented,0.5,LR,0.6376553647177479,0.0,0.0164478737173895
2024,CTGAN,augmented,0.5,RF,0.5853727270030554,0.0,0.011440346405971
2024,CTGAN,augmented,0.5,MLP,0.4974933997804871,0.0,0.0095753482365937
2024,CTGAN,augmented,1.0,GBC,0.5063332443416095,0.0,0.0083553233098876
2024,CTGAN,augmented,1.0,LR,0.6185221441072647,0.0,0.0148902910221355
2024,CTGAN,augmented,1.0,RF,0.5307614725163893,0.0,0.010825120183621
2024,CTGAN,augmented,1.0,MLP,0.5142831716650351,0.0,0.0097711696148483
2024,SMOTE,augmented,0.1,GBC,0.6591320340541663,0.0,0.0140693510232397
2024,SMOTE,augmented,0.1,LR,0.5955029515588384,0.0,0.0130638380152848
2024,SMOTE,augmented,0.1,RF,0.6697517130906826,0.0,0.0130009986808822
2024,SMOTE,augmented,0.1,MLP,0.5951766485716828,0.0,0.0167462344212962
2024,SMOTE,augmented,0.2,GBC,0.6221411408738988,0.0,0.0127827682050623
2024,SMOTE,augmented,0.2,LR,0.5924179051348226,0.0,0.012657815072923
2024,SMOTE,augmented,0.2,RF,0.586040164931328,0.0,0.0103734091617702
2024,SMOTE,augmented,0.2,MLP,0.5929221915695174,0.0333333333333333,0.0145158566885931
2024,SMOTE,augmented,0.3,GBC,0.6406810833259173,0.0253164556962025,0.0137702304979709
2024,SMOTE,augmented,0.3,LR,0.5928035359378244,0.0,0.0126537759459429
2024,SMOTE,augmented,0.3,RF,0.5916763074367416,0.0,0.0114080939206489
2024,SMOTE,augmented,0.3,MLP,0.6127080181543116,0.0384615384615384,0.0201235148056942
2024,SMOTE,augmented,0.5,GBC,0.6323603571534513,0.0264900662251655,0.0132151907474976
2024,SMOTE,augmented,0.5,LR,0.594168075702293,0.0176211453744493,0.0127142016224559
2024,SMOTE,augmented,0.5,RF,0.5944943786894485,0.0,0.0122818474757552
2024,SMOTE,augmented,0.5,MLP,0.6124410429830026,0.0212765957446808,0.0131685906629296
2024,SMOTE,augmented,1.0,GBC,0.6262644240752278,0.0222222222222222,0.0128546933625811
2024,SMOTE,augmented,1.0,LR,0.5982913589036218,0.0323886639676113,0.0129295410859714
2024,SMOTE,augmented,1.0,RF,0.5884281095191481,0.0,0.0113019050556596
2024,SMOTE,augmented,1.0,MLP,0.621666518347127,0.0220588235294117,0.0136967731242981
999,Baseline,real_only,0.0,GBC,0.50236456866548,0.0,0.0102781980177011
999,Baseline,real_only,0.0,LR,0.6083184994287839,0.0,0.0140705648045641
999,Baseline,real_only,0.0,RF,0.4596562076569516,0.0,0.0095521643271823
999,Baseline,real_only,0.0,MLP,0.5168973670926433,0.0,0.0099398488277578
999,GaussianCopula,augmented,0.1,GBC,0.4327957703445894,0.0,0.0085502224399876
999,GaussianCopula,augmented,0.1,LR,0.6054491352055049,0.0,0.0159059889130653
999,GaussianCopula,augmented,0.1,RF,0.4514200696086506,0.0,0.0090281488025019
999,GaussianCopula,augmented,0.1,MLP,0.5722123329525226,0.0,0.0113266153782569
999,GaussianCopula,augmented,0.2,GBC,0.4730067217513749,0.0,0.0096660497904287
999,GaussianCopula,augmented,0.2,LR,0.6009059751853131,0.0,0.0142557780288191
999,GaussianCopula,augmented,0.2,RF,0.4592842530354153,0.0,0.0092494653995483
999,GaussianCopula,augmented,0.2,MLP,0.5743377879327294,0.0,0.0114492120011005
999,GaussianCopula,augmented,0.3,GBC,0.4976619995217726,0.0,0.0101052157251627
999,GaussianCopula,augmented,0.3,LR,0.5876218815590213,0.0,0.0145858368226323
999,GaussianCopula,augmented,0.3,RF,0.5026169664443795,0.0,0.0096220171142826
999,GaussianCopula,augmented,0.3,MLP,0.5750551289885492,0.0,0.0115204418708682
999,GaussianCopula,augmented,0.5,GBC,0.4013390366375302,0.0,0.0078729623707269
999,GaussianCopula,augmented,0.5,LR,0.5907303594675736,0.0,0.014027334091856
999,GaussianCopula,augmented,0.5,RF,0.4758096655065225,0.0,0.0092553538291789
999,GaussianCopula,augmented,0.5,MLP,0.5810329711203804,0.0,0.0117249873290328
999,GaussianCopula,augmented,1.0,GBC,0.4828236669412046,0.0,0.0091187323522401
999,GaussianCopula,augmented,1.0,LR,0.5410212811179893,0.0,0.0129948694557517
999,GaussianCopula,augmented,1.0,RF,0.5641090358404847,0.0,0.0116193656074064
999,GaussianCopula,augmented,1.0,MLP,0.5836366534711337,0.0,0.0118104811549624
999,CTGAN,augmented,0.1,GBC,0.4363957597173143,0.0,0.008557831683467
999,CTGAN,augmented,0.1,LR,0.5905975185313106,0.0,0.0164340880766424
999,CTGAN,augmented,0.1,RF,0.4485507053853715,0.0,0.0094024887800897
999,CTGAN,augmented,0.1,MLP,0.5738861287494355,0.0,0.0113622330742396
999,CTGAN,augmented,0.2,GBC,0.485028826483169,0.0,0.010384382526785
999,CTGAN,augmented,0.2,LR,0.5691304232312229,0.0,0.0156731299337819
999,CTGAN,augmented,0.2,RF,0.4911660777385159,0.0,0.0093502497588995
999,CTGAN,augmented,0.2,MLP,0.576463242912936,0.0,0.0114892197380495
999,CTGAN,augmented,0.3,GBC,0.5052206487951327,0.0,0.0109191324198307
999,CTGAN,augmented,0.3,LR,0.5608145806211642,0.0,0.0149843489907848
999,CTGAN,augmented,0.3,RF,0.4946730784558569,0.0,0.0096912036962362
999,CTGAN,augmented,0.3,MLP,0.5843274263397008,0.0,0.0118103691870817
999,CTGAN,augmented,0.5,GBC,0.5423098381997397,0.0,0.0112588274352837
999,CTGAN,augmented,0.5,LR,0.5565105342862456,0.0,0.0133141655469109
999,CTGAN,augmented,0.5,RF,0.4706687212731475,0.0,0.0094640149349726
999,CTGAN,augmented,0.5,MLP,0.587117086001222,0.0,0.0120471025019547
999,CTGAN,augmented,1.0,GBC,0.523805095778315,0.0,0.0113894696033774
999,CTGAN,augmented,1.0,LR,0.5578123754616222,0.0,0.0131850998068743
999,CTGAN,augmented,1.0,RF,0.4891734636945721,0.0,0.0098149149820582
